鈴木大介八段 vs
 放送開始 
 株式会社ドワンゴ 
  
 -1:02:08 /play
 -09:56 64
 -09:55 96
 -09:54 うむ
 -09:53 223
 -09:53 マンモス
 -09:53 376
 -09:52 133
 -09:52 マンモス！
 -09:52 410
 -09:52 439
 -09:52 68
 -09:52 敗北
 -09:51 440
 -09:51 194
 -09:51 483
 -09:51 はい
 -09:50 [[
 -09:50 476
 -09:50 [
 -09:50 379
 -09:50 5
 -09:50 wef
 -09:50 327
 -09:50 191
 -09:50 32
 -09:50 357
 -09:50 128
 -09:49 334
 -09:49 50
 -09:49 22
 -09:49 355
 -09:49 おう、こんば
 -09:48 328
 -09:48 66
 -09:48 470
 -09:47 みなさんこんばんは
 -09:47 221
 -09:47 310
 -09:47 83
 -09:47 131
 -09:47 412
 -09:46 20
 -09:46 51
 -09:46 18
 -09:46 414
 -09:46 326
 -09:46 381
 -09:45 330
 -09:45 117
 -09:45 118
 -09:45 195おじ
 -09:45 363
 -09:44 334
 -09:44 20
 -09:44 400
 -09:44 317
 -09:44 マンモス
 -09:44 531
 -09:43 叡王戦どうでしたか？
 -09:43 マンモス
 -09:42 はいマンモス
 -09:42 67
 -09:42 8
 -09:42 304
 -09:42 こん
 -09:42 40
 -09:42 こんばんは
 -09:42 こんばんは
 -09:42 マンモス！
 -09:42 113
 -09:42 敗北を知りたい
 -09:42 アリーナ
 -09:41 こんばんは
 -09:41 29
 -09:41 289
 -09:41 300
 -09:41 347
 -09:41 186
 -09:40 こんばんは
 -09:40 こんばんはー
 -09:40 こｎ
 -09:39 292
 -09:39 マンモス！
 -09:39 200
 -09:39 71
 -09:39 474ギリ
 -09:39 156
 -09:39 421
 -09:38 おう
 -09:38 101
 -09:38 293
 -09:38 282
 -09:38 42
 -09:38 399
 -09:37 渡辺勝利
 -09:37 383
 -09:37 こんばんは
 -09:37 おう！
 -09:37 44
 -09:37 こんばんは～
 -09:36 こんばんは
 -09:36 はじめて　一桁！！
 -09:36 こんにつわ
 -09:36 102
 -09:36 135
 -09:35 188
 -09:35 272
 -09:35 こんばんはー
 -09:35 146
 -09:34 490あぶねー
 -09:34 にゃんぱすー
 -09:32 411
 -09:32 478
 -09:32 2０8
 -09:31 1
 -09:31 360
 -09:31 これから食事なので見られるかどうか・・・
 -09:30 ノシ
 -09:30 あ、山でした
 -09:30 こｎ
 -09:30 417
 -09:29 マンモス
 -09:29 124
 -09:28 まんもす
 -09:28 お、256だ
 -09:28 62
 -09:27 いえいえ
 -09:27 いえいえ
 -09:27 いえいえいえ
 -09:26 いえいえ
 -09:26 いえいえ
 -09:26 いえいえ
 -09:25 いえいえ
 -09:24 19
 -09:24 いえいえ
 -09:24 いえいえ
 -09:24 おう
 -09:24 おこんばんわ
 -09:21 おまえら早すぎｗ
 -09:20 ダブルクリック失敗しても余裕最前
 -09:20 あ、マンモス
 -09:19 こｎ
 -09:19 いえーい
 -09:18 どーもー
 -09:18 きたった
 -09:18 ふん
 -09:18 叡王戦どうでした？
 -09:17 マンモス
 -09:16 電場時計とにらめっこしてもギリギリだよ
 -09:16 180
 -09:16 永世謝罪名人
 -09:15 432
 -09:14 竜王戦3日目・・・じゃないだと
 -09:10 197
 -09:09 499だった・・・危ない
 -09:09 早速Tウイルス感染者のコメントがｗｗ
 -09:07 まんもす！
 -09:06 Aちゃんに「叡王戦どうされました？」って聞くなよ！絶対聞くなよ！
 -09:05 鈴木さん勝たんかなー
 -09:04 いいじまさんということで、待機！
 -09:03 党員だから大ちゃん応援
 -09:01 あ、216
 -09:00 18時30分から『【将棋】第1期叡王戦
 -08:59 今夜解き明かされる、あの事件の謎
 -08:58 しってた
 -08:57 知ってた
 -08:54 おう
 -08:52 るんるん♪
 -08:52 ワロス
 -08:52 謝罪対決・ファイナル
 -08:48 狙った解説
 -08:47 大介超がんばれ～
 -08:45 ジメイは飯島さんの期待も背負ってる
 -08:44 だいすけせんせーに期待
 -08:43 今日はリサリサとのコンビじゃないのね
 -08:42 開演まで
 -08:40 ニコルンっていつから？
 -08:40 今日はＡ氏の愚痴酒場だろ？
 -08:40 みうみう結婚が原因という‘。。。
 -08:38 はーい
 -08:38 はーい
 -08:36 おｋ
 -08:35 この解説罰ゲーム？
 -08:33 飯島先生には自戦解説（村山戦）を
 -08:32 えいじがんがれ
 -08:31 ジメイで飯島解説か
 -08:26 ひふみんガチ切れ
 -08:24 えーちゃんの反撃期待
 -08:17 309
 -08:14 Aちゃんには、おいしいネタでしかないという・・・
 -08:12 あれ？飯島さんAO戦どうされたんでしたっけ？
 -08:10 ニコルンってなに？
 -08:10 あ、山は崩れました
 -08:10 絶対ネタで解説呼んだとしか思えん
 -08:09 謝罪決戦
 -08:07 あ、棋王です
 -08:07 ゴキゲン本どうり粉砕してほしい
 -08:05 元NHK杯の力と聞いて
 -08:04 酷ですわ～
 -08:03 AO戦どうされました
 -07:57 飯島先生のＴｗｉｔｔｅｒが今日の解説楽しみにしてる感があって面白かった
 -07:57 33-4
 -07:56 運営の悪意
 -07:55 これは運営さんの悪意を感じる人選ｗ
 -07:53 123おこ
 -07:47 頭から火が出る顔
 -07:46 振り駒次第で大介さんがどこに振るかですね
 -07:44 あれ、飯島先生、叡王戦どうされました？
 -07:42 解説竹部じゃないところが唯一の救い
 -07:39 ことしは、大仏パーマあてないのね
 -07:36 大介の応援します！！
 -07:31 1が80とれない加藤
 -07:31 自戦解説やるのかなｗ
 -07:30 将棋人生が走馬燈のように浮かんだそうですからね
 -07:29 飯島さんは、けっしてジメイを許していなかった
 -07:25 飯島ーじめいの名局解説くる？
 -07:22 運営の悪意を感じる人選ｗｗ
 -07:18 今日の対局者どっちも好きな先生で悩むなぁ～
 -07:17 振り返り対局は何になるんだろう
 -07:17 ここは順当に大介！
 -07:13 慈明「叡王戦はどうでした？」
 -07:13 色々考えてますよ！ヽ(`Д´)ﾉ
 -07:07 飯島は竹部にいじられるべきだろ
 -07:05 菅井アベケンコール昇段おめ
 -07:00 おめ
 -06:58 背景の盤駒がいいやつになってる
 -06:55 えいちゃん「！！！！！」
 -06:54 菅井もう7段かあ
 -06:54 謝罪名人乗りだな
 -06:54 じめい「飯島先生、叡王戦は解説なんですね？」
 -06:54 振り返りはもちろん自戦解説で
 -06:52 じめいリベンジ
 -06:52 飯島さんは叡王戦どうだったんですか？
 -06:43 えいちゃんだー
 -06:40 こないだまで五段だった菅井もう七段かー
 -06:39 ひきにくくん
 -06:36 本田先生もあの「事件」の話をかなり突っ込んで聞いてた気が・・・
 -06:32 ぐあ最前とれてしもーたぁ
 -06:32 え？菅井七段なの？
 -06:30 佐藤対決の棋譜すごいね
 -06:27 今日はじめいで決まりか
 -06:26 飯島のおかげでこの場にいる本人と慈明
 -06:26 昇級したお
 -06:18 コールももう6段だしなー
 -06:11 七段昇段したよ　こーるとアベケンは六段に
 -06:10 菅井は何の規定で昇段？
 -06:07 21歳で6段はすごい
 -06:07 スピード昇段だな
 -06:04 竜王戦
 -06:00 都成はまだ三段
 -05:57 竜王戦2連続＜すがい
 -05:56 竜王戦連続昇級だっけ
 -05:55 竜王戦二期連続昇級だよん
 -05:53 飯島村山戦解説するわけ？
 -05:52 電王戦のとき5段だったのにはえーな
 -05:48 太地もうかうかしてられんな
 -05:47 同姓で同時同段昇段
 -05:44 俺はまだ4級やで
 -05:44 最前列取れたとしても一般なのでプレミアム会員様に席を譲ることになる
 -05:32 54０円、はらいましょう
 -05:27 みんながんばれー
 -05:25 19歳で竜王もいる
 -05:21 そこに魔法のカードがあるじゃろ
 -05:19 応援ありがとう
 -05:10 今日の解説者が...
 -05:09 今日はダブルクリックして、反応待ちしてなかって焦った
 -05:07 ニートにそんな金はありません(ToT)/~~~（自爆）
 -05:06 18歳棋聖　19歳竜王
 -05:05 18歳八段！！
 -05:03 ジメイの写真、童顔すぎる。電王戦の写真にすればいいのに
 -05:01 はやく藤井三段の対局をみてみたいです
 -04:59 ウェブマネーでも払えるよ
 -04:59 私情が
 -04:53 きた
 -04:51 きたか
 -04:50 飯島先生叡王戦どうしたんでしたっけ？
 -04:43 山のＰＶ
 -04:43 まだこのPVか
 -04:43 あ、山でした
 -04:42 旧PV
 -04:42 お？
 -04:41 また山が
 -04:39 おっと山の悪口はそこまでだ
 -04:38 ゆさぶられつ
 -04:36 心、かき乱された
 -04:34 編集しなおしてくれー
 -04:32 あ、川です
 -04:32 今日22度
 -04:30 アベノミクスで失業しました
 -04:29 PVはこのままなのかな
 -04:27 てんてー
 -04:20 むらやまさんがんばれ
 -04:19 山崩し森内
 -04:16 きゅん・・・
 -04:16 丘～をコールへ行こう～よ
 -04:12 山は爆破されました…
 -04:11 よわ
 -04:11 電王トーナメントのPV早くしてくれ
 -04:10 あーーー
 -04:04 貞升声
 -04:03 あー
 -04:02 ふろあがり
 -03:57 餃子
 -03:56 格調高く8強入り
 -03:56 王将
 -03:55 てんてー・・・
 -03:54 オーショー
 -03:54 郷田来てほしいな～
 -03:52 山ちゃんはどこや！！！
 -03:52 本命
 -03:51 恰好いい
 -03:50 次はおーおー
 -03:44 ぶわ
 -03:44 豊島が生還者ってことはジメイは死亡したのか・・・
 -03:43 ぽん
 -03:43 ぽんぽん・・・
 -03:42 村山の方がソフトには期待できそうだな
 -03:42 なけるなぁ
 -03:42 つかぽーん
 -03:41 お義父さん…
 -03:40 塚田先生残念
 -03:39 お義父さん
 -03:39 ぱぱぽん……
 -03:37 PON
 -03:37 義父ぽん
 -03:33 1回戦全部終わったのにまだこのpvなのか
 -03:31 wwwwww
 -03:30 そこまでｗ
 -03:29 みっちーｗ
 -03:29 ｗｗｗ
 -03:29 義父w
 -03:28 けいおん！・・・
 -03:28 みっち
 -03:27 ?(
 -03:24 けいおんって何
 -03:18 1組　おめでと～～
 -03:17 煽王
 -03:17 小火器
 -03:16 みっち竜王戦1組復帰
 -03:15 9－０
 -03:15 天然爆弾
 -03:12 謝罪九段
 -03:07 -387
 -03:04 ラジオ体操
 -03:03 ０－9
 -03:02 まこつ
 -02:59 0勝9敗
 -02:58 ０－9……
 -02:57 トイレ
 -02:55 ゆりかご永瀬
 -02:52 33－4
 -02:51 群馬
 -02:50 33-4
 -02:49 圧倒的じゃないか
 -02:49 みうみう～
 -02:46 新婚
 -02:46 相性って凄い
 -02:44 いえ
 -02:43 M浦のせい
 -02:40 みうみう
 -02:39 ラジオ体操まだやってんのかな？ｗ
 -02:38 しあわせぶとり
 -02:37 モノノフみてるー
 -02:37 たいだい根源
 -02:34 新婚ブースト
 -02:33 A級1位は強い
 -02:33 なめちゃんも優勝候補だな
 -02:31 ロック
 -02:31 なめ～
 -02:30 すげえスライド
 -02:30 おじさん・・・
 -02:29 行方不明
 -02:28 ナメちゃん格好いい
 -02:28 おじさん・・・
 -02:27 おじさん……
 -02:27 恵莉子声
 -02:23 A級1位
 -02:21 あ、低い
 -02:21 からんー
 -02:18 おじおじ
 -02:18 あ、動きません
 -02:17 あ、崩れました
 -02:17 意外と低かったよね・・・・・
 -02:17 ▲
 -02:16 あ、標高は言えません
 -02:16 そして…
 -02:16 あ、崩されました
 -02:15 山が崩れ
 -02:15 あ、崩れました
 -02:15 あ、
 -02:13 山（崎）が動いた
 -02:12 動いて…
 -02:11 登頂達成
 -02:08 あ、崩れました
 -02:08 動きすぎた
 -02:07 あ、砂山でした
 -02:07 山崩壊
 -02:06 もｍこー
 -02:04 その資格なし
 -02:03 桃ちゃん
 -02:02 六段昇段おめ
 -02:02 低いとかゆーなｗｗ
 -02:02 あ、登りました
 -02:01 山が止まった
 -01:58 砂山ｗｗｗ
 -01:58 六段おめ
 -01:58 砂山じゃねえｗｗ
 -01:57 山は爆破されました。
 -01:57 昇級おめ
 -01:55 こーるうううう
 -01:55 コルコル
 -01:54 登頂だ
 -01:54 順位戦もがんばれよ
 -01:52 六段！
 -01:51 将棋は将棋
 -01:51 昇段の笑顔
 -01:49 コールはハマればなー
 -01:48 山を崩した男
 -01:47 こーる強かった
 -01:45 コールコールコール
 -01:44 もうそろそろPV変えようｗｗ
 -01:42 （＾ω＾）
 -01:42 その他大勢
 -01:41 ふなえもんがまだ五段なのよなー
 -01:40 PV出番無しゾーン
 -01:39 こーるのあの局は、将棋なのか
 -01:38 昇段おめ！！
 -01:38 山を登り昇段したこーるくん
 -01:35 ザキヤマが叡王になりそう
 -01:33 りばーす
 -01:32 たたかえ！
 -01:31 決勝はPV作るのかな
 -01:30 (｀・ω・´)ｼｬｷｰﾝ
 -01:30 山ちゃん・・・
 -01:25 豊島先生は名人に破壊されました
 -01:25 えいおうせん、えいえいお～～！
 -01:20 いや、コールだろ
 -01:18 アンケ
 -01:15 お、一呼吸入るんか
 -01:12 いいエンディングだった
 -01:11 5は山
 -01:06 ko-ru
 -01:06 ha
 -01:06 はやすぎｗ
 -01:05 このあと感想戦？
 -01:04 慣れてくれば、なかなかいい棋戦名だ
 -01:04 ﾊﾊｯ、ﾜﾛｽ
 -01:02 動いた山は…
 -00:57 飯島さんにもどっち応援アンケ参加してもらいたい
 -00:57 こーる先生は激戦区過ぎる
 -00:56 おわらすな～～
 -00:54 豊島先生は王座と棋聖に破壊されました
 -00:54 動かざること山の如し
 -00:52 あ、5です
 -00:52 君はA型？O型？
 -00:52 こーるは六段になったよ
 -00:50 さあ、二コルンへ移動や
 -00:48 ばんせんだけかいｗ
 -00:47 違うよ、竜王戦だよ＞こーる昇段
 -00:44 ソフトはAWAKEでお願いします
 -00:43 コールは竜王戦連続昇給
 -00:38 鈴木8段が勝ってもなあｗ
 -00:36 GOGO角
 -00:31 竜王戦絡みだと昇段速いなあ
 -00:29 AWAKE使われたことあるの？
 -00:29 ポナよりAWAKE
 -00:25 わしの激指使ええやあ
 -00:24 なんでハブ渡辺はいないの？
 -00:21 コール、これ優勝したら七段になれるかも！？
 -00:20 今日順番的にＡＷＡＫＥかもね
 -00:20 大ちゃんがんばれ！
 -00:13 解説はよ
 -00:13 激指14発売！
 -00:11 菅井も六段になって、船江が追い越された
 -00:10 ナベには叡王でてほしかった
 -00:07 大介もムラが激しいからなぁ
 -00:05 GOGO桂はうひょうな手です
 -00:04 帝国かな
 -00:03 CWニコルはまだ存命だった
 -00:02 竜王戦見る限り、やっぱポナが良い
 00:00 帝国
 00:04 初期の頃はAWAKE、pona交互みたいな感じだったのに
 00:05 謎OP
 00:05 謎
 00:06 謎OP
 00:07 謎
 00:07 全棋士参加棋戦ではないから、優勝して昇段は、成績優秀者規定だなぁ
 00:07 新謎
 00:08 謎OP
 00:08 謎
 00:08 わし村内で9000円で買うた
 00:08 ナベは最初から不参加の雰囲気醸し出していたし、名人は新聞社からの強烈な圧力らしい
 00:10 王将（郷田）
 00:10 謎
 00:10 チントンシャン
 00:10 謎ＯＰ
 00:11 謎
 00:12 なぞおｐ
 00:12 謎
 00:14 西尾
 00:14 謎
 00:14 びっくりした
 00:15 西尾
 00:17 ぴ～～～ひょろろろ～～～
 00:19 激指13安くなりそうだから買おっかな
 00:19 謎
 00:20 こーーーん
 00:21 ててん
 00:22 栄ちゃん、南ちゃん、こんばんは～
 00:23 格調OP
 00:23 新新謎OP
 00:23 月は出ているか？
 00:26 えーちゃーん
 00:26 こんはんは
 00:27 風情がありすぎ
 00:27 こんばんわー
 00:27 被害者
 00:28 こんばんは～
 00:28 おじさｎ月
 00:28 こんにちは
 00:29 栄ちゃん　獣王
 00:30 こんばんは
 00:30 まんもーーす
 00:30 みなみー
 00:31 みなみちゃーーーーーーん
 00:31 どーもー
 00:31 三國無双風
 00:33 こんばんは
 00:33 南ちゃーん
 00:34 こんにちは
 00:34 こんばんは
 00:35 こんにちばんわ
 00:35 こんにちは
 00:35 こんばんわ
 00:37 えーちゃん
 00:37 Aちゃん
 00:37 南ちゃん
 00:37 飯島さん、叡王戦どうでした？
 00:37 <a
 00:38 右の子可愛い
 00:38 Aちゃーん
 00:38 AO戦はどうでしたか
 00:39 お願いします
 00:39 被害者登場
 00:39 南ちゃーん
 00:40 柴田りえ
 00:40 みなみちゃーーーーーん（ﾉｼ≧ω≦）ﾉｼ
 00:40 こんにちわ
 00:40 あ、村山被害者の人
 00:40 栄ちゃん！
 00:41 今日は、何回、宣伝が見れるかな
 00:41 A時
 00:41 よろしくお願いします～
 00:41 よろしくお願いします
 00:42 <a
 00:43 よろしくお願いします
 00:43 謝罪
 00:44 えいじ！
 00:44 おはこんにちは
 00:45 Aちゃーーーん
 00:45 いえー
 00:46 まだ怒ってるう？
 00:46 AO戦は・・・・・
 00:46 でーす（＾ω＾）
 00:47 獣王
 00:47 叡王戦どうでした？
 00:48 /cls
 00:48 こんばんにゃ
 00:49 叡王戦どうされましたか？
 00:49 わー
 00:49 おねがいしまーす
 00:50 みなみかわいいよみなみ
 00:50 煽られた人w
 00:50 叡王戦どうでした？
 00:50 えいちゃーーーん
 00:50 でーす
 00:51 よろしくおねがいします
 00:51 うむ
 00:52 E島A治
 00:53 働く母
 00:53 飯島先生囲碁将棋チャンネルでの竜王戦解説お疲れ様でした
 00:56 ざきやまー
 00:58 こんにちこんにちこんばんは
 00:58 まぁまぁ
 01:00 勝者が王子との対局か～
 01:00 飯島さんは叡王戦どうでしたか？
 01:04 最近何で音小さくなったんだろ
 01:05 じめいｗ
 01:07 飯島さん、昨日の竜王戦解説よかったよ??
 01:11 飯島さんはどうでしたか？
 01:12 AO戦どうでした？
 01:15 妙にしっとりした南さん
 01:16 叡王戦どうでした？
 01:19 勝って謝罪するかどうか
 01:19 ｗｗｗｗｗｗｗ
 01:20 声のトーンが渋い
 01:20 叡王戦どうでしたっけ？
 01:20 あっ
 01:20 妙にwww
 01:22 ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
 01:22 ｗｗｗ
 01:22 兄おとうと
 01:23 意味深
 01:23 飯島先生、叡王戦どうでした？
 01:23 嘘吐け
 01:24 栄ちゃんは、叡王戦、出場してないよ
 01:24 あの話題は避けられないｗ
 01:24 あっ・・・
 01:24 半笑い
 01:24 そこでわらうｗｗｗ
 01:25 叡王戦どうでした
 01:25 わろてしもてますやん
 01:26 山崎VS郷田or行方かな？
 01:26 ｗｗｗｗ
 01:27 なぜかニヤニヤしてしまうｗｗ
 01:27 まだか
 01:27 謝罪
 01:27 ｗｗ
 01:30 もうわろてる
 01:30 だいぶ薄くなたなぁ・・・
 01:31 竜王戦解説してた先生？
 01:31 期待してますｗ
 01:31 声が怒ってる
 01:33 大介を応援してまーす
